iter	Passed	Remaining
662	1107	562
663	1110	561
664	1114	561
665	1115	559
666	1117	557
667	1118	556
668	1122	555
669	1126	554
670	1129	553
671	1130	551
672	1132	550
673	1133	548
674	1135	546
675	1139	546
676	1142	544
677	1143	543
678	1145	541
679	1146	539
680	1147	537
681	1149	535
682	1150	533
683	1151	532
684	1153	530
685	1156	529
686	1158	527
687	1159	526
688	1161	524
689	1162	522
690	1164	520
691	1166	518
692	1168	517
693	1169	515
694	1171	514
695	1173	512
696	1175	510
697	1176	509
698	1177	507
699	1180	505
700	1182	504
701	1183	502
702	1186	501
703	1188	499
704	1190	497
705	1191	496
706	1192	494
707	1194	492
708	1195	490
709	1197	489
710	1199	487
711	1204	487
712	1205	485
713	1206	483
714	1208	481
715	1209	479
716	1210	477
717	1213	476
718	1215	475
719	1217	473
720	1219	471
721	1221	470
722	1222	468
723	1224	466
724	1225	464
725	1226	463
726	1228	461
727	1231	459
728	1233	458
729	1234	456
730	1235	454
731	1237	452
732	1238	451
733	1240	449
734	1241	447
735	1243	446
736	1245	444
737	1247	442
738	1250	441
739	1251	439
740	1252	437
741	1255	436
742	1258	435
743	1262	434
744	1264	432
745	1266	431
746	1267	429
747	1269	427
748	1271	426
749	1275	425
750	1277	423
751	1279	422
752	1281	420
753	1282	418
754	1285	417
755	1294	417
756	1296	416
757	1298	414
758	1299	412
759	1301	411
760	1303	409
761	1305	407
762	1308	406
763	1309	404
764	1311	402
765	1312	400
766	1313	399
767	1315	397
768	1316	395
769	1318	393
770	1319	392
771	1321	390
772	1323	388
773	1324	386
774	1326	385
775	1327	383
776	1329	381
777	1330	379
778	1332	378
779	1333	376
780	1335	374
781	1337	372
782	1342	372
783	1344	370
784	1346	368
785	1347	366
786	1348	365
787	1351	363
788	1352	361
789	1356	360
790	1357	358
791	1359	357
792	1360	355
793	1362	353
794	1363	351
795	1366	350
796	1368	348
797	1369	346
798	1373	345
799	1374	343
800	1376	341
801	1378	340
802	1379	338
803	1381	336
804	1383	335
805	1385	333
806	1388	332
807	1390	330
808	1391	328
809	1393	326
810	1402	326
811	1403	324
812	1405	323
813	1406	321
814	1408	319
815	1409	317
816	1413	316
817	1415	314
818	1416	313
819	1418	311
820	1419	309
821	1420	307
822	1422	305
823	1423	304
824	1424	302
825	1426	300
826	1428	298
827	1430	297
828	1432	295
829	1433	293
830	1434	291
831	1436	290
832	1437	288
833	1439	286
834	1440	284
835	1443	283
836	1445	281
837	1447	279
838	1449	278
839	1450	276
840	1452	274
841	1454	272
842	1456	271
843	1458	269
844	1460	267
845	1461	266
846	1463	264
847	1464	262
848	1466	260
849	1468	259
850	1469	257
851	1470	255
852	1473	253
853	1475	252
854	1477	250
855	1478	248
856	1480	246
857	1481	245
858	1483	243
859	1484	241
860	1486	239
861	1487	238
862	1490	236
863	1492	234
864	1493	233
865	1495	231
866	1496	229
867	1498	227
868	1500	226
869	1503	224
870	1507	223
871	1508	221
872	1511	219
873	1513	218
874	1514	216
875	1516	214
876	1517	212
877	1519	211
878	1521	209
879	1523	207
880	1525	206
881	1526	204
882	1528	202
883	1530	200
884	1532	199
885	1534	197
886	1537	195
887	1539	194
888	1541	192
889	1542	190
890	1544	188
891	1545	187
892	1547	185
893	1549	183
894	1550	181
895	1552	180
896	1553	178
897	1555	176
898	1557	174
899	1559	173
900	1561	171
901	1565	170
902	1568	168
903	1569	166
904	1570	164
905	1571	163
906	1573	161
907	1575	159
908	1577	157
909	1579	156
910	1581	154
911	1583	152
912	1585	151
913	1586	149
914	1588	147
915	1590	145
916	1591	144
917	1595	142
918	1597	140
919	1599	139
920	1600	137
921	1602	135
922	1603	133
923	1604	131
924	1606	130
925	1608	128
926	1610	126
927	1614	125
928	1615	123
929	1616	121
930	1618	119
931	1619	118
932	1621	116
933	1623	114
934	1625	113
935	1627	111
936	1629	109
937	1631	107
938	1632	106
939	1633	104
940	1635	102
941	1637	100
942	1638	99
943	1642	97
944	1644	95
945	1645	93
946	1646	92
947	1648	90
948	1649	88
949	1651	86
950	1652	85
951	1655	83
952	1658	81
953	1659	80
954	1660	78
955	1662	76
956	1663	74
957	1664	72
958	1666	71
959	1667	69
960	1668	67
961	1669	65
962	1671	64
963	1672	62
964	1673	60
965	1674	58
966	1676	57
967	1677	55
968	1679	53
969	1680	51
970	1681	50
971	1682	48
972	1683	46
973	1685	44
974	1687	43
975	1688	41
976	1690	39
977	1691	38
978	1692	36
979	1693	34
980	1694	32
981	1696	31
982	1697	29
983	1698	27
984	1700	25
985	1703	24
986	1705	22
987	1706	20
988	1707	18
989	1708	17
990	1710	15
991	1711	13
992	1712	12
993	1714	10
994	1715	8
995	1718	6
996	1719	5
997	1720	3
998	1722	1
999	1723	0
